"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"A","1187"," 951"," 944"," 707"," 941"," -0.27"," -0.50"," 0.70"," -6.95"," -4.41"," 5.06"
"A","1282"," 918"," 739"," 608"," 882"," 0.14"," 0.29"," 0.26"," 0.28"," -3.66"," 10.81"
"A","1190"," 915"," 922"," 699"," 905"," -0.24"," 0.23"," -0.05"," -7.90"," -5.04"," 1.88"
"A","1104"," 839"," 784"," 606"," 821"," 3.85"," -2.01"," 0.47"," -4.14"," -7.98"," -1.38"
"A","1193"," 675"," 784"," 554"," 442"," -0.50"," 0.35"," -0.39"," -8.56"," -3.44"," 0.34"
"A","1200"," 621"," 819"," 594"," 484"," -0.29"," 0.22"," 0.11"," -7.86"," -6.19"," -2.29"
"A","1230"," 595"," 777"," 603"," 538"," -0.56"," 0.00"," 0.45"," -4.41"," -5.30"," -6.25"
"A","1232"," 593"," 699"," 557"," 448"," -0.13"," -0.14"," 0.11"," -3.62"," -1.70"," -7.18"
"A","1129"," 591"," 795"," 608"," 527"," 0.05"," -1.10"," -0.16"," -7.43"," -4.72"," 3.29"
"A","1162"," 586"," 800"," 619"," 469"," 0.07"," -2.15"," -0.82"," -9.20"," -1.49"," -0.97"
"A","1203"," 581"," 755"," 587"," 462"," -0.07"," -0.04"," -0.01"," -6.14"," -1.44"," -6.92"
"A","1110"," 580"," 815"," 618"," 535"," 0.30"," 0.43"," 0.37"," -5.48"," -10.35"," 13.39"
"A","1142"," 578"," 807"," 619"," 477"," 0.93"," -2.51"," -1.00"," -10.74"," -0.35"," -3.54"
"A","1206"," 577"," 754"," 590"," 449"," -0.05"," -0.01"," 0.02"," -6.04"," -1.69"," -6.62"
"A","1151"," 576"," 800"," 622"," 471"," 0.20"," -2.29"," -0.77"," -12.14"," -2.59"," -2.42"
"A","1146"," 576"," 798"," 608"," 464"," -0.01"," -2.37"," -0.81"," -8.33"," -2.34"," -1.40"
"A","1205"," 576"," 752"," 586"," 438"," -0.01"," -0.01"," 0.01"," -6.21"," -1.28"," -6.85"
"A","1136"," 576"," 744"," 581"," 465"," -0.07"," -0.01"," -0.00"," -6.14"," -1.72"," -6.50"
