"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"J","1008"," 673"," 773"," 592"," 1061"," 0.24"," -0.11"," 0.10"," -7.25"," -5.55"," 4.62"
"J","1007"," 673"," 770"," 592"," 1066"," -3.91"," -1.40"," -1.58"," -5.09"," -3.69"," 7.57"
"J","1008"," 674"," 770"," 589"," 1071"," -4.51"," 0.31"," 0.48"," -3.00"," -11.61"," 1.31"
"J","1008"," 675"," 779"," 596"," 1082"," -1.67"," 1.02"," 0.07"," -5.23"," -8.76"," 3.32"
"J","1009"," 676"," 779"," 594"," 1082"," -0.09"," 1.41"," 1.03"," -5.43"," -9.35"," 1.52"
"J","1008"," 672"," 782"," 603"," 1087"," 4.23"," 0.43"," 2.56"," -2.62"," -10.99"," -3.72"
"J","1009"," 686"," 780"," 603"," 1089"," -3.43"," 0.56"," 1.41"," -3.99"," -10.12"," 0.08"
"J","1008"," 681"," 752"," 574"," 1045"," -4.47"," -0.06"," 0.41"," -5.01"," -9.70"," 5.23"
"J","1003"," 688"," 721"," 558"," 996"," -6.64"," -0.80"," 0.89"," -2.51"," -9.00"," 5.07"
"J","1005"," 685"," 770"," 592"," 1079"," -1.92"," -2.11"," -0.85"," -5.80"," 3.24"," 7.51"
"J","998"," 686"," 775"," 605"," 1088"," 1.28"," -1.55"," 0.37"," -10.32"," 0.93"," 4.78"
"J","1000"," 677"," 786"," 624"," 1091"," 5.24"," -0.70"," 2.03"," -7.14"," -1.68"," 2.48"
"J","1008"," 687"," 784"," 624"," 1091"," 0.83"," 1.12"," 0.83"," -4.71"," -5.10"," -4.62"
"J","1009"," 686"," 786"," 624"," 1093"," -4.27"," 1.20"," 2.21"," -4.79"," -10.28"," -4.26"
"J","1007"," 686"," 790"," 621"," 1100"," -7.36"," 0.17"," 2.91"," -2.49"," -9.59"," 1.79"
"J","1003"," 691"," 798"," 625"," 1107"," -3.22"," 0.48"," -1.33"," -6.51"," -3.43"," -5.08"
"J","1005"," 687"," 795"," 629"," 1113"," -7.11"," -1.03"," 1.77"," 0.77"," -5.25"," 9.93"
"J","1008"," 686"," 797"," 639"," 1116"," -0.03"," -1.85"," -0.97"," -5.37"," 2.72"," 5.97"
"J","1017"," 688"," 803"," 645"," 1115"," 4.85"," 0.06"," 0.50"," -2.90"," -7.31"," -3.52"
"J","1015"," 691"," 805"," 640"," 1109"," -0.69"," 0.64"," 1.37"," -3.51"," -3.60"," -5.35"
"J","1008"," 687"," 795"," 632"," 1120"," -4.74"," -1.41"," 0.44"," -0.27"," 2.47"," 12.12"
"J","1013"," 693"," 807"," 650"," 1120"," 4.19"," -0.50"," 3.33"," -7.35"," 4.43"," 4.94"
"J","998"," 683"," 811"," 655"," 1125"," 6.74"," -0.36"," 2.71"," -6.64"," -8.54"," 4.12"
"J","1036"," 677"," 811"," 644"," 1123"," 4.89"," -2.35"," 0.19"," -1.81"," -5.73"," -0.46"
"J","1008"," 686"," 816"," 646"," 1120"," 1.39"," 0.88"," 0.34"," -4.87"," -7.51"," -5.45"
"J","1023"," 694"," 802"," 640"," 1120"," -4.57"," 2.05"," 3.51"," -3.63"," -8.66"," -0.43"
"J","1023"," 689"," 793"," 635"," 1122"," -7.26"," -1.55"," 3.58"," 3.56"," -6.86"," 10.88"
"J","1019"," 670"," 800"," 650"," 1133"," 1.18"," -3.66"," 1.02"," -0.09"," 4.76"," 6.52"
"J","1036"," 693"," 811"," 656"," 1123"," 6.48"," -0.67"," 4.09"," -6.71"," 3.72"," 3.67"
"J","1034"," 690"," 816"," 663"," 1129"," 8.73"," -1.69"," 3.33"," -4.66"," -6.56"," -3.52"
"J","1039"," 693"," 816"," 661"," 1129"," -0.36"," 0.30"," 1.32"," -2.72"," -7.70"," -4.36"
"J","998"," 672"," 816"," 653"," 1127"," -4.55"," -3.32"," -1.36"," -1.43"," 0.20"," 8.80"
"J","1013"," 688"," 816"," 665"," 1132"," 6.55"," -0.63"," 4.17"," -6.69"," -0.59"," 8.20"
"J","1019"," 688"," 816"," 665"," 1125"," 1.38"," 0.06"," -0.07"," -3.41"," -8.93"," -1.22"
"J","1013"," 689"," 816"," 658"," 1127"," -5.45"," 0.96"," 1.53"," -1.70"," -11.12"," -4.82"
"J","1014"," 689"," 804"," 658"," 1136"," -5.37"," -2.83"," -0.88"," -2.73"," 5.33"," 10.16"
"J","1034"," 693"," 817"," 669"," 1137"," 4.23"," -1.09"," 2.18"," -5.63"," 0.65"," 7.26"
"J","1018"," 688"," 812"," 667"," 1127"," 2.45"," 0.18"," 0.12"," -3.64"," -9.66"," -2.48"
"J","1015"," 689"," 816"," 666"," 1126"," -1.17"," 0.25"," 0.73"," -2.68"," -7.28"," -4.21"
"J","1002"," 680"," 816"," 661"," 1125"," -7.35"," -0.32"," 1.74"," -0.69"," -10.65"," 7.48"
"J","1002"," 677"," 815"," 655"," 1136"," -5.14"," -3.51"," -0.13"," 2.62"," -2.01"," 6.12"
"J","1003"," 685"," 821"," 672"," 1136"," 0.72"," -1.95"," -0.53"," -5.88"," 5.19"," 4.93"
"J","1008"," 688"," 822"," 673"," 1136"," 5.91"," 0.77"," 3.40"," -3.82"," -7.56"," 2.43"
"J","1003"," 695"," 749"," 592"," 1040"," 3.44"," 1.47"," 1.52"," -3.52"," -7.92"," -2.56"
"J","994"," 689"," 768"," 619"," 1061"," 4.16"," -1.61"," 1.99"," -8.22"," 1.68"," 4.22"
"J","1008"," 689"," 781"," 630"," 1103"," 0.14"," 0.15"," -0.26"," -4.01"," -6.48"," -1.46"
"J","1045"," 701"," 794"," 640"," 1126"," -2.24"," -2.34"," -1.40"," -4.09"," -2.21"," 10.36"
"J","1039"," 693"," 798"," 640"," 1130"," 4.79"," -0.35"," 2.59"," -7.88"," -1.49"," 4.40"
"J","1039"," 694"," 796"," 644"," 1125"," -0.25"," 0.69"," -0.33"," -4.31"," -8.28"," -3.78"
"J","1015"," 688"," 798"," 627"," 1119"," -5.91"," 0.33"," 2.47"," -1.95"," -12.52"," 2.51"
"J","1035"," 698"," 806"," 640"," 1132"," 0.27"," -0.53"," 0.25"," -7.46"," 1.80"," 5.05"
