"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"W","1061"," 1000"," 1247"," 1008"," 573"," -0.00"," 0.03"," 0.01"," -6.82"," -6.18"," -3.45"
"W","1040"," 997"," 1246"," 1008"," 566"," 0.01"," -0.13"," 0.22"," -7.28"," -4.72"," -3.54"
"W","1056"," 1006"," 1248"," 1011"," 560"," -0.23"," 0.54"," -0.62"," -7.32"," -3.79"," -2.46"
"W","1056"," 1002"," 1249"," 1015"," 565"," -0.01"," 0.43"," 0.04"," -9.45"," -6.34"," -4.05"
"W","1057"," 1002"," 1253"," 1035"," 563"," -0.05"," -0.39"," 0.33"," -6.71"," -4.47"," -2.53"
"W","1062"," 1016"," 1257"," 1006"," 564"," -0.01"," 0.07"," -0.11"," -6.69"," -4.27"," -2.69"
"W","1070"," 1018"," 1252"," 1008"," 550"," -0.84"," 0.15"," -0.28"," -8.70"," -4.84"," -3.26"
"W","1072"," 1023"," 1257"," 1023"," 558"," 0.88"," -0.20"," 0.41"," -7.49"," -5.62"," -2.77"
"W","1070"," 1023"," 1255"," 1014"," 568"," -1.08"," 0.37"," -0.44"," -7.61"," -4.71"," -3.21"
"W","1044"," 1022"," 1254"," 1023"," 592"," 1.01"," 0.18"," 0.14"," -7.26"," 4.20"," 5.05"
"W","1063"," 1023"," 1255"," 1053"," 611"," 0.02"," 0.12"," 0.04"," -8.44"," 4.62"," 5.24"
"W","1055"," 1021"," 1253"," 1053"," 615"," -0.01"," -0.13"," -0.03"," -7.81"," 4.64"," 4.12"
"W","1057"," 1010"," 1255"," 1063"," 610"," 0.19"," -0.27"," 0.36"," -7.01"," 4.75"," 3.38"
"W","1056"," 1007"," 1255"," 1069"," 606"," 0.07"," 0.44"," 0.01"," -8.09"," 5.09"," 3.42"
"W","1056"," 991"," 1258"," 1069"," 578"," 0.07"," 0.07"," 0.01"," -8.03"," 4.83"," 3.19"
"W","1072"," 976"," 1168"," 1051"," 592"," -0.03"," 0.01"," 0.02"," -7.46"," 4.95"," 3.19"
"W","1075"," 991"," 1232"," 1055"," 593"," -0.21"," -0.20"," 0.05"," -7.75"," 5.11"," 3.69"
"W","1072"," 990"," 1232"," 1040"," 587"," -0.39"," -0.07"," 0.02"," -7.02"," 5.18"," 4.79"
"W","1076"," 993"," 1136"," 1009"," 576"," -0.03"," -0.23"," 0.03"," -5.26"," -5.55"," -6.31"
"W","1074"," 995"," 1213"," 1007"," 576"," -0.15"," -0.08"," -0.06"," -6.23"," -4.47"," -5.55"
"W","1085"," 1010"," 1237"," 1023"," 579"," -0.06"," -0.35"," 0.04"," -6.24"," -3.96"," -5.97"
"W","1090"," 1021"," 1246"," 1042"," 565"," 0.08"," -0.05"," 0.03"," -6.66"," -3.65"," -4.04"
"W","1091"," 1020"," 1223"," 1040"," 562"," -0.13"," -0.04"," 0.03"," -6.86"," -4.80"," -4.92"
"W","1089"," 1012"," 1249"," 998"," 573"," -0.02"," -0.05"," -0.03"," -6.70"," -4.38"," -4.92"
"W","1093"," 997"," 1233"," 1006"," 570"," 0.05"," -0.06"," -0.01"," -6.57"," -4.35"," -5.08"
"W","1090"," 1004"," 1236"," 1032"," 565"," 0.00"," -0.02"," 0.02"," -6.75"," -4.42"," -4.83"
"W","1083"," 1007"," 1239"," 1037"," 559"," -0.05"," 0.05"," 0.06"," -7.04"," -4.99"," -3.84"
"W","1091"," 1006"," 1246"," 1019"," 560"," -0.23"," -0.78"," 0.05"," -7.85"," -4.61"," -2.96"
"W","1087"," 1007"," 1248"," 1006"," 531"," -1.87"," 1.74"," -0.12"," -7.55"," -5.64"," -1.96"
"W","1084"," 997"," 1245"," 1015"," 563"," -0.11"," 0.16"," -0.10"," -7.39"," -4.87"," -4.49"
"W","1091"," 1008"," 1246"," 1010"," 565"," 0.06"," 0.16"," 0.00"," -7.38"," -5.02"," -3.93"
"W","945"," 1008"," 1245"," 1008"," 576"," -0.10"," -0.03"," 0.02"," -7.19"," -3.75"," -4.61"
"W","898"," 1008"," 1246"," 999"," 573"," 0.02"," -0.02"," 0.00"," -7.34"," -3.83"," -4.42"
"W","908"," 1008"," 1243"," 989"," 576"," 0.04"," -0.05"," -0.01"," -7.21"," -3.56"," -4.79"
"W","925"," 1008"," 1246"," 982"," 576"," -0.03"," -0.01"," 0.04"," -7.18"," -3.68"," -4.50"
"W","941"," 1008"," 1248"," 983"," 573"," -0.02"," -0.02"," 0.03"," -7.25"," -3.74"," -4.57"
"W","941"," 1008"," 1245"," 990"," 575"," 0.01"," -0.02"," 0.00"," -7.19"," -3.96"," -4.47"
