"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"Y","1220"," 816"," 729"," 583"," 1085"," -0.29"," 0.15"," 0.19"," -6.79"," -4.21"," -5.50"
"Y","1231"," 614"," 757"," 610"," 1072"," 0.18"," 0.31"," -0.17"," -5.53"," -0.90"," -8.82"
"Y","1231"," 614"," 755"," 610"," 1063"," 0.01"," 0.42"," -0.05"," -7.04"," -0.76"," -8.34"
"Y","1229"," 613"," 755"," 610"," 1070"," -0.17"," 0.56"," 0.00"," -6.68"," -1.96"," -9.33"
"Y","1231"," 610"," 757"," 610"," 1068"," 0.14"," 0.47"," -0.04"," -5.67"," -1.96"," -6.16"
"Y","1230"," 610"," 752"," 609"," 1065"," -0.11"," 0.43"," -0.00"," -5.41"," -1.64"," -5.77"
"Y","1227"," 609"," 755"," 610"," 1077"," 0.33"," -0.56"," 0.21"," -6.61"," -1.34"," -9.27"
"Y","1228"," 607"," 754"," 609"," 1074"," 0.08"," -1.01"," 0.11"," -5.89"," -1.35"," -7.14"
"Y","1229"," 607"," 755"," 609"," 1068"," -0.34"," 0.63"," -0.08"," -7.58"," -1.98"," -9.20"
"Y","1231"," 606"," 755"," 608"," 1059"," -0.07"," -0.05"," 0.01"," -5.56"," -1.28"," -7.44"
"Y","1231"," 606"," 754"," 606"," 1053"," -0.14"," -0.12"," 0.04"," -5.86"," -1.84"," -7.24"
"Y","1230"," 605"," 752"," 613"," 1061"," 0.09"," 0.14"," -0.01"," -5.47"," -0.77"," -5.47"
"Y","1228"," 603"," 753"," 610"," 1087"," -0.06"," -0.20"," 0.07"," -6.61"," -1.32"," -8.79"
"Y","1227"," 599"," 753"," 611"," 1085"," -0.10"," 0.60"," -0.09"," -6.49"," -0.98"," -7.81"
"Y","1229"," 599"," 754"," 610"," 1077"," -0.12"," -0.17"," -0.05"," -4.71"," 0.42"," -4.43"
"Y","1227"," 598"," 752"," 609"," 1088"," -0.02"," -0.44"," 0.16"," -5.82"," -0.66"," -5.88"
"Y","1228"," 592"," 755"," 612"," 1088"," -0.01"," 0.09"," 0.03"," -6.50"," -0.85"," -5.32"
"Y","1227"," 592"," 753"," 611"," 1091"," 0.08"," -0.86"," 0.08"," -6.39"," -0.69"," -7.48"
"Y","1226"," 592"," 754"," 609"," 1089"," -0.04"," 0.41"," -0.12"," -6.40"," -1.61"," -8.45"
"Y","1225"," 592"," 753"," 608"," 1087"," -0.05"," 0.25"," -0.02"," -5.73"," -1.11"," -5.59"
"Y","1230"," 592"," 752"," 610"," 1075"," 0.00"," 0.39"," 0.01"," -5.80"," -0.94"," -5.55"
"Y","1222"," 591"," 755"," 608"," 1096"," -0.01"," 0.18"," -0.06"," -6.55"," -1.67"," -7.84"
"Y","1225"," 590"," 752"," 608"," 1088"," -0.31"," 0.62"," 0.03"," -6.83"," -0.23"," -7.89"
"Y","1222"," 587"," 754"," 609"," 1099"," -0.16"," -0.20"," 0.30"," -6.71"," -2.28"," -4.75"
"Y","1223"," 587"," 752"," 610"," 1088"," 0.03"," -0.32"," 0.01"," -6.61"," -1.23"," -5.25"
"Y","1225"," 585"," 754"," 611"," 1085"," 0.01"," 0.13"," -0.04"," -6.86"," -1.19"," -5.15"
"Y","1222"," 582"," 752"," 606"," 1095"," -0.02"," -0.26"," 0.20"," -4.37"," -3.63"," -4.00"
"Y","1228"," 581"," 752"," 606"," 1098"," -0.13"," -0.79"," 0.40"," -7.41"," -4.48"," -7.98"
"Y","1221"," 581"," 754"," 607"," 1104"," 0.09"," 0.06"," 0.11"," -6.55"," -3.79"," -5.63"
"Y","1222"," 581"," 753"," 610"," 1099"," 0.02"," -0.00"," -0.03"," -7.16"," -2.01"," -4.74"
"Y","1223"," 579"," 752"," 609"," 1093"," -0.17"," 0.61"," -0.08"," -6.68"," -1.29"," -6.27"
"Y","1223"," 578"," 755"," 610"," 1093"," 0.03"," -0.60"," 0.03"," -6.30"," -0.93"," -5.91"
"Y","1232"," 577"," 758"," 609"," 1072"," 0.07"," -0.50"," 0.07"," -5.62"," -2.59"," -6.12"
"Y","1223"," 576"," 751"," 596"," 1087"," -0.10"," -0.63"," 0.32"," -6.53"," -3.62"," -7.41"
"Y","1226"," 576"," 752"," 601"," 1098"," -0.02"," 0.48"," -0.18"," -6.05"," -2.74"," -5.78"
"Y","1221"," 576"," 753"," 605"," 1104"," -0.27"," 0.38"," -0.04"," -5.84"," -2.06"," -4.63"
"Y","1222"," 576"," 753"," 609"," 1098"," -0.35"," 0.08"," 0.15"," -6.89"," -2.61"," -5.36"
